ㄅ CH_b-CH_@
ㄐㄧㄥ CH_dz|-CH_i-CH_N#

ㄐㄩ CH_dz|-CH_y

ㄐㄩㄝ CH_dz|-CH_y-CH_E

ㄐㄩㄢ CH_dz|-CH_y-CH_E-CH_n#

ㄐㄩㄣ CH_dz|-CH_y-CH_n#

ㄐㄩㄥ CH_dz|-CH_y-CH_o-CH_N#

ㄑㄧ CH_ts|-CH_i

ㄑㄧㄚ CH_ts|-CH_i-CH_a

ㄑㄧㄝ CH_ts|-CH_i-CH_E

ㄑㄧㄠ CH_ts|-CH_i-CH_a-CH_u

ㄑㄧㄡ CH_ts|-CH_i-CH_o-CH_u

ㄑㄧㄢ CH_ts|-CH_i-CH_E-CH_n#

ㄑㄧㄣ CH_ts|-CH_i-CH_n#

ㄑㄧㄤ CH_ts|-CH_i-CH_a-CH_N#

ㄑㄧㄥ CH_ts|-CH_i-CH_N#

ㄑㄩ CH_ts|-CH_y

ㄑㄩㄝ CH_ts|-CH_y-CH_E

ㄑㄩㄢ CH_ts|-CH_y-CH_E-CH_n#

ㄑㄩㄣ CH_ts|-CH_y-CH_n#

ㄑㄩㄥ CH_ts|-CH_y-CH_o-CH_N#

ㄒㄧ CH_s|-CH_i

ㄒㄧㄚ CH_s|-CH_i-CH_a

ㄒㄧㄝ CH_s|-CH_i-CH_E

ㄒㄧㄠ CH_s|-CH_i-CH_a-CH_u

ㄒㄧㄡ CH_s|-CH_i-CH_o-CH_u

ㄒㄧㄢ CH_s|-CH_i-CH_E-CH_n#

ㄒㄧㄣ CH_s|-CH_i-CH_n#

ㄒㄧㄤ CH_s|-CH_i-CH_a-CH_N#

ㄒㄧㄥ CH_s|-CH_i-CH_N#

ㄒㄩ CH_s|-CH_y

ㄒㄩㄝ CH_s|-CH_y-CH_E

ㄒㄩㄢ CH_s|-CH_y-CH_E-CH_n#

ㄒㄩㄣ CH_s|-CH_y-CH_n#

ㄒㄩㄥ CH_s|-CH_y-CH_o-CH_N#

ㄓ CH_dz`-CH_U`

ㄓㄚ CH_dz`-CH_a

ㄓㄜ CH_dz`-CH_@

ㄓㄞ CH_dz`-CH_a-CH_i

ㄓㄟ CH_dz`-CH_e-CH_i

ㄓㄠ CH_dz`-CH_a-CH_u

ㄓㄡ CH_dz`-CH_o-CH_u

ㄓㄢ CH_dz`-CH_a-CH_n#

ㄓㄣ CH_dz`-CH_@-CH_n#

ㄓㄤ CH_dz`-CH_a-CH_N#

ㄓㄥ CH_dz`-CH_@-CH_N#

ㄓㄨ CH_dz`-CH_u

ㄓㄨㄚ CH_dz`-CH_u-CH_a

ㄓㄨㄛ CH_dz`-CH_u-CH_o

ㄓㄨㄞ CH_dz`-CH_u-CH_a-CH_i

ㄓㄨㄟ CH_dz`-CH_u-CH_e-CH_i

ㄓㄨㄢ CH_dz`-CH_u-CH_a-CH_n#

ㄓㄨㄣ CH_dz`-CH_u-CH_@-CH_n#

ㄓㄨㄤ CH_dz`-CH_u-CH_a-CH_N#

ㄓㄨㄥ CH_dz`-CH_o-CH_N#

ㄔ CH_ts`-CH_U`

ㄔㄚ CH_ts`-CH_a

ㄔㄜ CH_ts`-CH_@

ㄔㄞ CH_ts`-CH_a-CH_i

ㄔㄠ CH_ts`-CH_a-CH_u

ㄔㄡ CH_ts`-CH_o-CH_u

ㄔㄢ CH_ts`-CH_a-CH_n#

ㄔㄣ CH_ts`-CH_@-CH_n#

ㄔㄤ CH_ts`-CH_a-CH_N#

ㄔㄥ CH_ts`-CH_@-CH_N#

ㄔㄨ CH_ts`-CH_u

ㄔㄨㄚ CH_ts`-CH_u-CH_a

ㄔㄨㄛ CH_ts`-CH_u-CH_o

ㄔㄨㄞ CH_ts`-CH_u-CH_a-CH_i

ㄔㄨㄟ CH_ts`-CH_u-CH_e-CH_i

ㄔㄨㄢ CH_ts`-CH_u-CH_a-CH_n#

